ID,question,question_En,explanation,explanation_En,hint,hint_En,first_option,second_option,third_option,fourth_option,first_option_En,second_option_En,third_option_En,fourth_option_En,answer_index,hint_option,targets,category,question_class,sub_category,wiki_link
1,نخستین استاد و مربی کمال‌الدین بهزاد در هنر نگارگری ایرانی که بود؟,Who was the first teacher and mentor of Kamal al-Din Behzad in Iranian miniature painting?,روح‌الله میرک نقی‌زاده اولین استاد کمال‌الدین بهزاد در هنر نگارگری ایران بود,Ruhollah Mirak Naghizadeh was the first teacher of Kamal al-Din Behzad in the art of Iranian miniature painting,علی‌شیر نوایی اولین حامی و پشتیبان مهم کمال‌الدین بهزاد در دربار هرات بود,Ali-Shir Nava'i was the first important supporter and patron of Kamal al-Din Behzad in the Herat court,میرک نقی‌زاده,علی‌شیر نوایی,سلطان حسین بایقرا,پیر سید احمد تبریزی,Mirak Naghizadeh,Ali-Shir Nava'i,Sultan Hussein Bayqara,Pir Seyyed Ahmad Tabrizi,1,2,about an option other than the answer,Arts_and_Literature,Person,Artists,https://fa.wikipedia.org/wiki/کمال‌الدین_بهزاد
2,کمال‌الدین بهزاد در کدام شهر ایران به خاک سپرده شد؟,In which city of Iran was Kamal al-Din Behzad buried?,کمال‌الدین بهزاد در شهر تبریز و در کنار مقبره کمال خجندی به خاک سپرده شد.,"Kamal al-Din Behzad was buried in the city of Tabriz, next to the tomb of Kamal Khojandi.",کمال‌الدین بهزاد هروی در شهر هرات در ایران به دنیا آمده بود و مدت زیادی در آنجا زندگی می‌کرد,Kamal al-Din Behzad Heravi was born in the city of Herat in Iran and lived there for a long time,هرات,اصفهان,تبریز,بغداد,Herat,Isfahan,Tabriz,Baghdad,3,1,about an option other than the answer,Arts_and_Literature,Location,Artists,https://fa.wikipedia.org/wiki/کمال‌الدین_بهزاد
3,مهمترین ویژگی نوآورانه کمال‌الدین بهزاد در نقاشی ایرانی چه بود؟,What was the most innovative feature of Kamal al-Din Behzad in Iranian painting?,توجه کمال‌الدین بهزاد به دنیای واقعی پیرامون، وی را از نگارگران پیش از خود در هنر نقاشی ایرانی متمایز می‌کرد,Kamal al-Din Behzad's attention to the real world around him distinguished him from previous painters in Iranian painting art,کمال‌الدین بهزاد در رنگ‌شناسی نگارگری هنر ایرانی تحول اساسی ایجاد کرد,Kamal al-Din Behzad created a fundamental transformation in color theory of Iranian art painting,رنگ‌شناسیِ,خط و خوشنویسی,توجه به دنیای واقعی,تذهیب,Color theory,Line and calligraphy,Attention to the real world,Illumination,3,1,about an option other than the answer,Arts_and_Literature,Other_proper_and_common_noun,Artists,https://fa.wikipedia.org/wiki/کمال‌الدین_بهزاد
4,ویژگی اصلی آثار رضا عباسی هنرمند ایرانی چه بود؟,"What was the main characteristic of the works of Reza Abbasi, the Iranian artist?",قلمگیری‌های خاص رکن اصلی آثار رضا عباسی هنرمند نامدار ایرانی بود,"Special line work was the main element of the works of Reza Abbasi, the renowned Iranian artist",رضا عباسی هنرمند ایرانی پرده‌های نقاشی بسیار آفرید که در آنها به جای انبوه درباریان، تنها صورت یک یا دو آدمی زیبا نقش می‌شد. در این تصویرهای هنری رنگ آمیزی لباس و صورت و تزئینات و تجملات صحنه درخششی چشم گیر دارد,"Reza Abbasi, the Iranian artist, created many paintings in which instead of crowds of courtiers, only the face of one or two beautiful people was depicted. In these artistic images, the coloring of clothes and faces, and the decorations and luxuries of the scene have a striking brilliance",قلمگیری خاص,رنگ‌آمیزی,پرسپکتیو,ترکیب‌بندی,Special line work,Coloring,Perspective,Composition,1,2,about an option other than the answer,Arts_and_Literature,Other_proper_and_common_noun,Artists,https://fa.wikipedia.org/wiki/رضا_عباسی
5,چرا رضا عباسی هنرمند ایرانی به این نام مشهور شد؟,Why did the Iranian artist Reza Abbasi become famous by this name?,شاه عباس صفوی هنرمند رضا عباسی را به خود منسوب کرد و از آن پس رضا به نام رضا عباسی مشهور شد,"Shah Abbas Safavid attributed the artist Reza Abbasi to himself, and from then on, Reza became known as Reza Abbasi",هنرمندان و نقاشان اصفهان در دوره صفوی نام رضا عباسی را به عنوان هنرمندی سرآمد معرفی کردند,Artists and painters of Isfahan during the Safavid era introduced the name Reza Abbasi as an outstanding artist,انتساب به شاه عباس,نام خانوادگی,تخلص هنری,انتساب نام از طرف هنرمندان,Attribution to Shah Abbas,Family name,Artistic pseudonym,Name attribution by artists,1,4,about an option other than the answer,Arts_and_Literature,Other,Artists,https://fa.wikipedia.org/wiki/رضا_عباسی
6,ویژگی پرده‌های نقاشی رضا عباسی در هنر ایران چه بود؟,What was the characteristic of Reza Abbasi's paintings in Iranian art?,در پرده‌های نقاشی رضا عباسی، به جای انبوه درباریان، تنها یک یا دو آدمی زیبا نقش می‌شد,"In Reza Abbasi's paintings, instead of crowds of courtiers, only one or two beautiful people were depicted",تصاویر درباری پرجمعیت در دوره صفوی و در زمان رضا عباسی رایج بود,Crowded court images were common during the Safavid period and during Reza Abbasi's time,تصویر یک یا دو نفر,شلوغی تصاویر,مناظر طبیعی,صحنه‌های رزم,Image of one or two people,Crowded images,Natural landscapes,Battle scenes,1,2,about an option other than the answer,Arts_and_Literature,Other,Artists,https://fa.wikipedia.org/wiki/رضا_عباسی
7,در زمان شاه اسماعیل صفوی، نقاشان بزرگ به چه کاری می پرداختند؟,"During the time of Shah Ismail Safavid, what did the great painters do?",در زمان شاه اسماعیل صفوی و شاه طهماسب صفوی، نقاشان بزرگ مانند کمال الدین بهزاد به تصویر کردن کتاب‌های خطی می‌پرداختند,"During the time of Shah Ismail Safavid and Shah Tahmasp Safavid, great painters like Kamal al-Din Behzad were engaged in illustrating manuscripts",در زمان شاه عباس بزرگ صفوی، نقاشی دیواری از کارهای رایج نقاشان بود,"During the time of Shah Abbas the Great Safavid, wall painting was a common practice among painters",تصویر کتب خطی,نقاشی دیواری,پرده‌های بزرگ,تذهیب,Illustrating manuscripts,Wall painting,Large canvases,Illumination,1,2,about an option other than the answer,Arts_and_Literature,Other_proper_and_common_noun,Artists,https://fa.wikipedia.org/wiki/رضا_عباسی
8,اولین استاد نقاشی محمود فرشچیان چه کسی بود؟,Who was Mahmoud Farshchian's first painting teacher?,پدر محمود فرشچیان، محمود فرشچیان را به کارگاه نقاشی میرزا آقا امامی در تهران برد و میرزا آقا امامی اولین استاد نقاشی محمود فرشچیان بود.,"Mahmoud Farshchian's father took him to Mirza Agha Emami's painting workshop in Tehran, and Mirza Agha Emami was Mahmoud Farshchian's first painting teacher.",عیسی بهادری از اساتید بزرگ نقاشی ایران و از معلمان محمود فرشچیان بود.,Isa Bahadori was one of the great painting masters of Iran and one of Mahmoud Farshchian's teachers.,میرزا آقا امامی,عیسی بهادری,کمال الملک,حسین بهزاد,Mirza Agha Emami,Isa Bahadori,Kamal-ol-Molk,Hossein Behzad,1,2,about an option other than the answer,Arts_and_Literature,Person,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
9,در حال حاضر محمود فرشچیان در کدام کشور سکونت دارد؟,Where does Mahmoud Farshchian currently reside?,محمود فرشچیان در حال حاضر در ایالات متحده آمریکا، در شهر نیوجرسی سکونت دارد و سفرهای دوره‌ای به کشور ایران دارد.,"Mahmoud Farshchian currently resides in the United States of America, in the city of New Jersey, and makes periodic trips to Iran.",استاد محمود فرشچیان مهمترین و متعددترین جوایز هنری خود را در کشور ایتالیا کسب کرده است,Master Mahmoud Farshchian has received his most important and numerous artistic awards in Italy,آمریکا,ایران,ایتالیا,فرانسه,America,Iran,Italy,France,1,3,about an option other than the answer,Arts_and_Literature,Location,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
10,محمود فرشچیان در چه سالی نشان چهره ماندگار را در ایران دریافت کرد؟,In what year did Mahmoud Farshchian receive the Eternal Figure award in Iran?,در سال ۱۳۸۰ عنوان چهره ماندگار به استاد محمود فرشچیان در ایران اعطا شد.,"In the year 1380, the title of Eternal Figure was awarded to Master Mahmoud Farshchian in Iran.",استاد محمود فرشچیان در سال ۱۳۶۳ بیش از یک جایزه و نشان مهم در هنر ایران دریافت کرد,Master Mahmoud Farshchian received more than one important award and recognition in Iranian art in the year 1363,1380,1379,1385,1363,1380,1379,1385,1363,1,4,about an option other than the answer,Arts_and_Literature,Date_Time,Artists,https://fa.wikipedia.org/wiki/محمود_فرشچیان
